Farsi,English
مامان,mom
ميتوني ,You can
زن ,Female
کجاست,where is it
نميدونم ,I do not know
اینکه,That's
او,She
واقعاً ,Reality
کنار,next to the
دور ,far
بعدش,after that
ميگم,I say
است ,Is
داده ,Data
اونها,They
زود,Soon
تر ,More
برام ,for me
خبر ,News
بهتر ,Better
زمان,Time
ببخشيد,sorry
منه,from him
شهر ,City
اتفاق ,Happening
بودي ,Body
ميدم ,I can
باعث ,Cause
اجازه,Permit
بزن ,hit
يعني ,Means
منظورم ,I mean
طرف,party
نشون,Demonstrated
لطفا ,Please
دکتر ,the doctor
چیه ,what
هی ,Hey
نگه,Hold
ببينم ,See
نيستم ,Not
همین ,This
پیدا,Find
بهتر,Better
نميتونم ,I can not
آروم ,slow
مهم,Important
سعي ,try
یکی ,One
اصلا,At all
میکنی ,You are
لحظه ,the moment
کردی ,You did
حالت ,state of
خداي,God
اش ,Her
دادم ,I gave
بري,Wild
جواب ,Answer
قراره,Frequency
پشت ,Back
فرار ,Escape
آب ,Water
خون ,Blood
نجات,the rescue
هیچ,No.
صبح,Morning
ماشين,car
هفته,Weekly
مال,Money
کرديم ,We did
کنين, do(plural)
رفته,Gone
کارو ,Carry
لازم ,Necessary
باور,Belief
بزنم ,Hit
هيچي ,nothing
بين,between
احساس ,Feeling
ميده ,It's
جايي,Place
ادامه,Continues
بد,Bad
بره,Lamb
کسی,Someone
اتاق,room
میکنه,(he/she/they) do
دوني ,suffix(place or location of something)
داخل ,inside
گفتي,Said
اشتباه ,the mistake
شدي ,Became
نگران,Worried
خانواده ,Family
مشکل ,Problem
نميشه,Do not
مي کنيم,We make
سمت ,Side
مي توني,You can
هيچوقت ,never
امشب,Tonight
چطوري ,how are you
اومده,(he/she/it) came
بیرون ,the outside
وارد,Entered
اومد,came
کی ,That
میخوام,I wanna
بیا,Come on
اتفاقي,What is happening
انتخاب ,Selection
شاید ,Perhaps
ازدواج,Marriage
گرفته,Taken
آه ,Ah
زيادي,Many.
ميخواد ,You want
داریم ,we have
مي خواي,do you want?
کاری ,Work
جاي,place
ميگي,You're saying
باهات,with you
میدونی ,U know
چطوره ,how's it
نياز ,Need
بهشون ,To them
ميتونه,(he/she/it) Can
اينا ,These
پليس ,police
نبايد ,should not
گفته,Said
دادن,to give
دقيقه ,minute
بکنم ,I do
دنيا ,world
پیش,Advance(before)
اره ,Yeah
حق,Right
يالا ,Come on
فردا,Tomorrow
اندازه,Size
حمله ,Attack
بشم ,I am
زياد ,very
زمين ,Earth
کدوم ,which one
ياد ,Learning
پايين ,down
ميشه,it will
متوجه,Noticed
مطمئن,Safe
رفت ,Went
مرگ,Death
ميرم ,I'm going
نقشه ,Map
عوض,Replaced
اعتماد ,the trust
ميکنن,they will do
قول ,Promise
تازه ,new
جنگ,War
هستند ,are
تماس ,Contact
افتاده ,Fallen
ممنونم ,thank you
انگار,As if
بگو, you say
حرکت ,Move
حس ,Feeling
ميکردم ,I would
بریم ,let's go
موقع ,Location
مادر ,Mother
آن ,That
کارت ,Card
دروغ ,lie
روی ,On
ميگه,Says
گم ,Missing
لباس,Dress
جور ,Sort
گرفتم,I got it
یاد آوردن,Remember
رفيق,Companion
عشق,Love
مي تونه,(he/she/they) can
اولين ,first
همچين ,Same
هرگز ,Never
جان,suffix(dear)
قبول ,Accept
مرده ,dead
افتاد,it fell
ديدم,I saw
موضوع ,subject
آینه,Mirror
میاد ,He goes
ازم ,O
براش,for him
میخوای ,Do you want
عنوان ,Title
خود ,Itself
هستيم ,We are
بهترين ,best
حتما ,Sure
بهتون ,To
مشکلي ,Problematic
چیز ,Thing
مجبور ,Forced
زندگی ,Life
بقيه,The rest
شماره ,Number
منظورت ,You mean
